0.5,9.999999999999944e-36,9.999999999999944e-36
1.5,9.999999999999944e-36,9.999999999999944e-36
2.5,9.999999999999944e-36,9.999999999999944e-36
3.5,9.999999999999944e-36,9.999999999999944e-36
4.5,9.999999999999944e-36,9.999999999999944e-36
5.5,9.999999999999944e-36,9.999999999999944e-36
6.5,9.999999999999944e-36,9.999999999999944e-36
7.5,9.999999999999944e-36,9.999999999999944e-36
8.5,9.999999999999944e-36,9.999999999999944e-36
9.5,9.999999999999944e-36,9.999999999999944e-36
10.5,9.999999999999944e-36,9.999999999999944e-36
11.5,9.999999999999944e-36,9.999999999999944e-36
12.5,9.999999999999944e-36,9.999999999999944e-36
13.5,9.999999999999944e-36,9.999999999999944e-36
14.5,9.999999999999944e-36,9.999999999999944e-36
15.5,9.999999999999944e-36,9.999999999999944e-36
16.5,9.999999999999944e-36,9.999999999999944e-36
17.5,9.999999999999944e-36,9.999999999999944e-36
18.5,9.999999999999944e-36,9.999999999999944e-36
19.5,9.999999999999944e-36,9.999999999999944e-36
20.5,9.999999999999944e-36,9.999999999999944e-36
21.5,9.999999999999944e-36,9.999999999999944e-36
22.5,9.999999999999944e-36,9.999999999999944e-36
23.5,9.999999999999944e-36,9.999999999999944e-36
24.5,9.999999999999944e-36,9.999999999999944e-36
25.5,9.999999999999944e-36,9.999999999999944e-36
26.5,9.999999999999944e-36,9.999999999999944e-36
27.5,9.999999999999944e-36,9.999999999999944e-36
28.5,9.999999999999944e-36,9.999999999999944e-36
29.5,9.999999999999944e-36,9.999999999999944e-36
30.5,9.999999999999944e-36,9.999999999999944e-36
31.5,9.999999999999944e-36,9.999999999999944e-36
32.5,9.999999999999944e-36,9.999999999999944e-36
33.5,9.999999999999944e-36,9.999999999999944e-36
34.5,9.999999999999944e-36,9.999999999999944e-36
35.5,9.999999999999944e-36,9.999999999999944e-36
36.5,9.999999999999944e-36,9.999999999999944e-36
37.5,9.999999999999944e-36,9.999999999999944e-36
38.5,9.999999999999944e-36,9.999999999999944e-36
39.5,9.999999999999944e-36,9.999999999999944e-36
40.5,9.999999999999944e-36,9.999999999999944e-36
41.5,9.999999999999944e-36,9.999999999999944e-36
42.5,9.999999999999944e-36,9.999999999999944e-36
43.5,2.939780984936841e-35,2.939780984936841e-35
44.5,4.990817848908776e-33,4.990817848908776e-33
45.5,9.51992961765389e-31,9.51992961765389e-31
46.5,1.8159160015206723e-28,1.8159160015206723e-28
47.5,3.4638396049313154e-26,3.4638396049313154e-26
48.5,6.6072355762289145e-24,6.6072355762289145e-24
49.5,1.260322848022019e-21,1.260322848022019e-21
50.5,1.5041389388179375e-19,1.5041389388179375e-19
51.5,5.099541573801874e-19,5.099541573801874e-19
52.5,8.877795085231976e-19,8.877795085231976e-19
53.5,1.2595927841381676e-18,1.2595927841381676e-18
54.5,1.6603006821095945e-18,1.6603006821095945e-18
55.5,2.053794858841423e-18,2.053794858841423e-18
56.5,2.065171689967391e-18,2.065171689967391e-18
57.5,1.9906517297268754e-18,1.9906517297268754e-18
58.5,2.0583426677526895e-18,2.0583426677526895e-18
59.5,2.0483318587458786e-18,2.0483318587458786e-18
60.5,1.7260190055960707e-18,1.7260190055960707e-18
61.5,1.3621523974842292e-18,1.3621523974842292e-18
62.5,1.3154625368831826e-18,1.3154625368831826e-18
63.5,1.6144678014830353e-18,1.6144678014830353e-18
64.5,1.2538579430018112e-18,1.2538579430018112e-18
65.5,8.971491567749424e-19,8.971491567749424e-19
66.5,1.3741356273391195e-18,1.3741356273391195e-18
67.5,9.231313080863783e-19,9.231313080863783e-19
68.5,2.1587752410720264e-18,2.1587752410720264e-18
69.5,2.372341456195419e-18,2.372341456195419e-18
70.5,3.578764950106406e-18,3.578764950106406e-18
71.5,5.024056096712405e-18,5.024056096712405e-18
72.5,6.74756043295321e-18,6.74756043295321e-18
73.5,3.4587394146221912e-18,3.4587394146221912e-18
74.5,5.073056230282579e-18,5.073056230282579e-18
75.5,1.6026920633975642e-17,1.6026920633975642e-17
76.5,1.296760155055264e-17,1.296760155055264e-17
77.5,8.866366003786339e-18,8.866366003786339e-18
78.5,8.736186955970524e-18,8.736186955970524e-18
79.5,6.5171936112233606e-18,6.5171936112233606e-18
80.5,6.43821778659823e-18,6.43821778659823e-18
81.5,4.133985150836944e-18,4.133985150836944e-18
82.5,1.9923260980229646e-18,1.9923260980229646e-18
83.5,1.1491947267311778e-18,1.1491947267311778e-18
84.5,1.88522224250709e-18,1.88522224250709e-18
85.5,2.8031486922012414e-18,2.8031486922012414e-18
86.5,3.175369962401802e-18,3.175369962401802e-18
87.5,6.137855653898236e-18,6.137855653898236e-18
88.5,1.6017767502208106e-17,1.6017767502208106e-17
89.5,3.96997638957662e-17,3.96997638957662e-17
90.5,8.48505496308829e-17,8.48505496308829e-17
91.5,7.300490023143513e-17,7.300490023143513e-17
92.5,7.486777671821742e-17,7.486777671821742e-17
93.5,6.383987341587155e-17,6.383987341587155e-17
94.5,5.721548047134117e-17,5.721548047134117e-17
95.5,6.238775392519865e-17,6.238775392519865e-17
96.5,4.9289844869087724e-17,4.9289844869087724e-17
97.5,3.508152801791307e-17,3.508152801791307e-17
98.5,4.748954424178742e-17,4.748954424178742e-17
99.5,5.703842041833279e-17,5.703842041833279e-17
100.5,4.8705541459395185e-17,4.8705541459395185e-17
101.5,2.93550493847861e-17,2.93550493847861e-17
102.5,3.5327267408378414e-17,3.5327267408378414e-17
103.5,3.1569447382714165e-17,3.1569447382714165e-17
104.5,1.9508829588761784e-17,1.9508829588761784e-17
105.5,1.7905844262866498e-17,1.7905844262866498e-17
106.5,2.154324157064265e-17,2.154324157064265e-17
107.5,2.0028146152940403e-17,2.0028146152940403e-17
108.5,4.3306446185119217e-17,4.3306446185119217e-17
109.5,1.087746964041266e-17,1.087746964041266e-17
110.5,1.2240142505193688e-17,1.2240142505193688e-17
111.5,3.831620903427414e-17,3.831620903427414e-17
112.5,9.53749144901169e-17,9.53749144901169e-17
113.5,2.211804108148233e-17,2.211804108148233e-17
114.5,8.360683341199776e-18,8.360683341199776e-18
115.5,1.943945694761119e-18,1.943945694761119e-18
116.5,4.829179032870632e-19,4.829179032870632e-19
117.5,2.439537085762481e-19,2.439537085762481e-19
118.5,5.762513686717581e-20,5.762513686717581e-20
119.5,4.744963968253858e-20,4.744963968253858e-20
120.5,5.624985156879826e-20,5.624985156879826e-20
121.5,7.455102293677849e-20,7.455102293677849e-20
122.5,8.634858932345591e-20,8.634858932345591e-20
123.5,1.1888053647953848e-19,1.1888053647953848e-19
124.5,1.7699697577984526e-19,1.7699697577984526e-19
125.5,2.533905679430711e-19,2.533905679430711e-19
126.5,3.283774571141284e-19,3.283774571141284e-19
127.5,4.4075411674094e-19,4.4075411674094e-19
128.5,5.732420776530401e-19,5.732420776530401e-19
129.5,5.51605010556418e-19,5.51605010556418e-19
130.5,6.264368604707902e-19,6.264368604707902e-19
131.5,7.924139599604719e-19,7.924139599604719e-19
132.5,8.371908343620822e-19,8.371908343620822e-19
133.5,8.726647037268318e-19,8.726647037268318e-19
134.5,7.462263511274951e-19,7.462263511274951e-19
135.5,7.479456471187586e-19,7.479456471187586e-19
136.5,6.891800702216856e-19,6.891800702216856e-19
137.5,6.00956077884271e-19,6.00956077884271e-19
138.5,6.322278178919857e-19,6.322278178919857e-19
139.5,5.623078341998946e-19,5.623078341998946e-19
140.5,5.324844415107393e-19,5.324844415107393e-19
